report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1983,NM00101,"Albuquerque, NM",355163.0,2954.0,24.0,206.0,1815.0,909.0,12.0,831.73,6.76,58.0,511.03,255.94
1983,TX22001,"Arlington, TX",178871.0,585.0,7.0,75.0,317.0,186.0,12.0,327.05,3.91,41.93,177.22,103.99
1983,GAAPD00,"Atlanta, GA",448635.0,9326.0,141.0,619.0,5014.0,3552.0,12.0,2078.75,31.43,137.97,1117.61,791.73
1983,CO00101,"Aurora, CO",172575.0,1706.0,12.0,65.0,1296.0,333.0,12.0,988.56,6.95,37.66,750.98,192.96
1983,TX22701,"Austin, TX",381091.0,1534.0,58.0,240.0,571.0,665.0,12.0,402.53,15.22,62.98,149.83,174.5
1983,MD00301,"Baltimore County, MD",668705.0,6012.0,34.0,148.0,4570.0,1260.0,12.0,899.05,5.08,22.13,683.41,188.42
1983,MDBPD00,"Baltimore, MD",805527.0,16132.0,201.0,497.0,6267.0,9167.0,12.0,2002.66,24.95,61.7,778.0,1138.01
1983,MA01301,"Boston, MA",566551.0,11365.0,90.0,367.0,4195.0,6713.0,12.0,2006.0,15.89,64.78,740.45,1184.89
1983,NY01401,"Buffalo, NY",360656.0,3297.0,43.0,297.0,1547.0,1410.0,12.0,914.17,11.92,82.35,428.94,390.95
1983,NC06001,"Charlotte, NC",323704.0,4267.0,44.0,258.0,2863.0,1102.0,12.0,1318.18,13.59,79.7,884.45,340.43
1983,ILCPD00,"Chicago, IL",3021203.0,39776.0,729.0,2246.0,13330.0,23471.0,12.0,1316.56,24.13,74.34,441.21,776.88
1983,OHCIP00,"Cincinnati, OH",382373.0,3339.0,27.0,308.0,1603.0,1401.0,12.0,873.23,7.06,80.55,419.22,366.4
1983,OHCLP00,"Cleveland, OH",571827.0,7798.0,148.0,716.0,2819.0,4115.0,12.0,1363.7,25.88,125.21,492.98,719.62
1983,OHCOP00,"Columbus, OH",561328.0,4197.0,74.0,324.0,1392.0,2407.0,12.0,747.69,13.18,57.72,247.98,428.8
1983,TXDPD00,"Dallas, TX",998827.0,11478.0,268.0,891.0,5405.0,4914.0,12.0,1149.15,26.83,89.2,541.13,491.98
1983,CODPD00,"Denver, CO",533732.0,4379.0,78.0,430.0,1947.0,1924.0,12.0,820.45,14.61,80.56,364.79,360.48
1983,MI82349,"Detroit, MI",1176968.0,25527.0,580.0,1514.0,6511.0,16922.0,12.0,2168.88,49.28,128.64,553.2,1437.76
1983,TX07102,"El Paso, TX",471749.0,4275.0,33.0,177.0,3200.0,865.0,12.0,906.2,7.0,37.52,678.33,183.36
1983,VA02901,"Fairfax County, VA",592933.0,794.0,13.0,68.0,349.0,364.0,12.0,133.91,2.19,11.47,58.86,61.39
1983,TX22012,"Fort Worth, TX",424651.0,5104.0,112.0,454.0,2518.0,2020.0,12.0,1201.93,26.37,106.91,592.96,475.68
1983,CA01005,"Fresno, CA",230418.0,1913.0,32.0,172.0,725.0,984.0,12.0,830.23,13.89,74.65,314.65,427.05
1983,HI00200,"Honolulu, HI",808092.0,2136.0,45.0,249.0,599.0,1243.0,12.0,264.33,5.57,30.81,74.13,153.82
1983,TXHPD00,"Houston, TX",1728783.0,15919.0,561.0,1179.0,3909.0,10270.0,12.0,920.82,32.45,68.2,226.11,594.06
1983,INIPD00,"Indianapolis, IN",463455.0,4139.0,56.0,376.0,1886.0,1821.0,12.0,893.07,12.08,81.13,406.94,392.92
1983,FL01602,"Jacksonville, FL",605934.0,5670.0,82.0,411.0,2889.0,2288.0,12.0,935.75,13.53,67.83,476.78,377.6
1983,MOKPD00,"Kansas City, MO",453128.0,7452.0,106.0,425.0,4045.0,2876.0,12.0,1644.57,23.39,93.79,892.68,634.7
1983,NV00201,"Las Vegas, NV",429080.0,3564.0,74.0,244.0,1261.0,1985.0,12.0,830.61,17.25,56.87,293.88,462.62
1983,CA01941,"Long Beach, CA",381798.0,4679.0,60.0,246.0,1272.0,3101.0,12.0,1225.52,15.72,64.43,333.16,812.21
1983,CA01900,"Los Angeles County, CA",1084868.0,11493.0,156.0,581.0,6819.0,3937.0,12.0,1059.39,14.38,53.55,628.56,362.9
1983,CA01942,"Los Angeles, CA",3158688.0,53435.0,820.0,2494.0,20878.0,29243.0,12.0,1691.68,25.96,78.96,660.97,925.8
1983,KY05680,"Louisville, KY",,,,,,,,,,,,
1983,TNMPD00,"Memphis, TN",664883.0,7564.0,127.0,763.0,2181.0,4493.0,12.0,1137.64,19.1,114.76,328.03,675.76
1983,AZ00717,"Mesa, AZ",163310.0,798.0,8.0,36.0,604.0,150.0,12.0,488.64,4.9,22.04,369.85,91.85
1983,FL01300,"Miami-Dade County, FL",864762.0,11795.0,179.0,457.0,6359.0,4800.0,12.0,1363.96,20.7,52.85,735.35,555.07
1983,FL01306,"Miami, FL",374769.0,9784.0,144.0,365.0,4556.0,4719.0,12.0,2610.67,38.42,97.39,1215.68,1259.18
1983,WIMPD00,"Milwaukee, WI",643473.0,3720.0,51.0,235.0,1236.0,2198.0,12.0,578.11,7.93,36.52,192.08,341.58
1983,MN02711,"Minneapolis, MN",377850.0,3487.0,16.0,316.0,1154.0,2001.0,12.0,922.85,4.23,83.63,305.41,529.58
1983,MD01604,"Montgomery County, MD",533230.0,1449.0,17.0,124.0,683.0,625.0,12.0,271.74,3.19,23.25,128.09,117.21
1983,TN01901,"Nashville, TN",465887.0,3289.0,81.0,324.0,1171.0,1713.0,12.0,705.97,17.39,69.54,251.35,367.69
1983,NY02900,"Nassau County, NY",1058726.0,1493.0,31.0,54.0,457.0,951.0,11.0,141.02,2.93,5.1,43.17,89.82
1983,LANPD00,"New Orleans, LA",589508.0,8048.0,210.0,536.0,2752.0,4550.0,12.0,1365.21,35.62,90.92,466.83,771.83
1983,NY03030,"New York City, NY",7100063.0,132653.0,1622.0,3662.0,43326.0,84043.0,12.0,1868.34,22.84,51.58,610.22,1183.69
1983,NJNPD00,"Newark, NJ",336016.0,9327.0,112.0,553.0,3375.0,5287.0,12.0,2775.76,33.33,164.58,1004.42,1573.44
1983,CA00109,"Oakland, CA",362344.0,6777.0,98.0,478.0,2912.0,3289.0,12.0,1870.32,27.05,131.92,803.66,907.7
1983,OK05506,"Oklahoma City, OK",441281.0,4685.0,61.0,533.0,2174.0,1917.0,12.0,1061.68,13.82,120.78,492.66,434.42
1983,NB02802,"Omaha, NE",327276.0,2390.0,27.0,157.0,1584.0,622.0,12.0,730.27,8.25,47.97,484.0,190.05
1983,FL04804,"Orlando, FL",142678.0,2215.0,14.0,141.0,1292.0,768.0,12.0,1552.45,9.81,98.82,905.54,538.27
1983,PAPEP00,"Philadelphia, PA",1692364.0,16973.0,311.0,822.0,5096.0,10744.0,12.0,1002.92,18.38,48.57,301.12,634.85
1983,AZ00723,"Phoenix, AZ",843415.0,5270.0,83.0,499.0,2717.0,1971.0,12.0,624.84,9.84,59.16,322.14,233.69
1983,PAPPD00,"Pittsburgh, PA",426890.0,5605.0,42.0,214.0,1151.0,4198.0,12.0,1312.98,9.84,50.13,269.62,983.39
1983,OR02602,"Portland, OR",371706.0,6879.0,36.0,377.0,3502.0,2964.0,12.0,1850.66,9.69,101.42,942.14,797.4
1983,MD01721,"Prince George's County, MD",570120.0,4817.0,56.0,304.0,2004.0,2453.0,12.0,844.91,9.82,53.32,351.5,430.26
1983,NC09201,"Raleigh, NC",154482.0,879.0,12.0,46.0,532.0,289.0,12.0,569.0,7.77,29.78,344.38,187.08
1983,CA03404,"Sacramento, CA",293695.0,3080.0,52.0,217.0,1258.0,1553.0,12.0,1048.71,17.71,73.89,428.34,528.78
1983,UT01803,"Salt Lake City, UT",180892.0,1163.0,14.0,128.0,498.0,523.0,12.0,642.93,7.74,70.76,275.3,289.12
1983,TXSPD00,"San Antonio, TX",874483.0,5327.0,165.0,519.0,2240.0,2403.0,12.0,609.16,18.87,59.35,256.15,274.79
1983,CA03711,"San Diego, CA",935840.0,5451.0,77.0,395.0,2429.0,2550.0,12.0,582.47,8.23,42.21,259.55,272.48
1983,CA03801,"San Francisco, CA",721168.0,10117.0,83.0,539.0,3550.0,5945.0,12.0,1402.86,11.51,74.74,492.26,824.36
1983,CA04313,"San Jose, CA",671913.0,3460.0,48.0,447.0,1504.0,1461.0,12.0,514.95,7.14,66.53,223.84,217.44
1983,WASPD00,"Seattle, WA",514319.0,4818.0,61.0,434.0,2291.0,2032.0,12.0,936.77,11.86,84.38,445.44,395.09
1983,MOSPD00,"St. Louis, MO",457262.0,8461.0,152.0,323.0,4146.0,3840.0,12.0,1850.36,33.24,70.64,906.7,839.78
1983,NY05101,"Suffolk County, NY",1169529.0,2259.0,26.0,151.0,1099.0,983.0,11.0,193.15,2.22,12.91,93.97,84.05
1983,FL02902,"Tampa, FL",299965.0,5053.0,58.0,288.0,3178.0,1529.0,12.0,1684.53,19.34,96.01,1059.46,509.73
1983,AZ01003,"Tucson, AZ",361739.0,2776.0,26.0,253.0,1731.0,766.0,12.0,767.4,7.19,69.94,478.52,211.75
1983,OK07205,"Tulsa, OK",391101.0,2404.0,35.0,193.0,1208.0,968.0,12.0,614.67,8.95,49.35,308.87,247.51
1983,VA12800,"Virginia Beach, VA",271775.0,587.0,11.0,73.0,251.0,252.0,12.0,215.99,4.05,26.86,92.36,92.72
1983,DCMPD00,"Washington, DC",623000.0,11933.0,183.0,406.0,3646.0,7698.0,12.0,1915.41,29.37,65.17,585.23,1235.63
1983,KS08703,"Wichita, KS",287807.0,1385.0,26.0,161.0,664.0,534.0,12.0,481.23,9.03,55.94,230.71,185.54
1983,,United States,,1258087.0,19308.0,,,,,538.1,8.3,,,
