report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2010,NM00101,"Albuquerque, NM",545852.0,4291.0,42.0,338.0,2971.0,940.0,12.0,786.11,7.69,61.92,544.29,172.21
2010,TX22001,"Arlington, TX",365438.0,1925.0,16.0,119.0,1258.0,532.0,12.0,526.77,4.38,32.56,344.24,145.58
2010,GAAPD00,"Atlanta, GA",420003.0,5749.0,93.0,89.0,3405.0,2162.0,12.0,1368.8,22.14,21.19,810.71,514.76
2010,CO00101,"Aurora, CO",325078.0,1449.0,24.0,181.0,737.0,507.0,12.0,445.74,7.38,55.68,226.71,155.96
2010,TX22701,"Austin, TX",790390.0,3790.0,38.0,265.0,2256.0,1231.0,12.0,479.51,4.81,33.53,285.43,155.75
2010,MD00301,"Baltimore County, MD",805029.0,4305.0,20.0,126.0,2824.0,1335.0,12.0,534.76,2.48,15.65,350.79,165.83
2010,MDBPD00,"Baltimore, MD",620961.0,9316.0,223.0,265.0,5492.0,3336.0,12.0,1500.26,35.91,42.68,884.44,537.23
2010,MA01301,"Boston, MA",617594.0,5819.0,73.0,256.0,3564.0,1926.0,12.0,942.2,11.82,41.45,577.08,311.86
2010,NY01401,"Buffalo, NY",261310.0,3599.0,55.0,157.0,1921.0,1466.0,12.0,1377.29,21.05,60.08,735.14,561.02
2010,NC06001,"Charlotte, NC",779541.0,4891.0,61.0,239.0,2796.0,1795.0,12.0,627.42,7.83,30.66,358.67,230.26
2010,ILCPD00,"Chicago, IL",2695598.0,29774.0,432.0,1372.0,13757.0,14213.0,12.0,1104.54,16.03,50.9,510.35,527.27
2010,OHCIP00,"Cincinnati, OH",296943.0,3615.0,68.0,236.0,1194.0,2117.0,12.0,1217.41,22.9,79.48,402.1,712.93
2010,OHCLP00,"Cleveland, OH",396815.0,5529.0,81.0,344.0,1923.0,3181.0,12.0,1393.34,20.41,86.69,484.61,801.63
2010,OHCOP00,"Columbus, OH",787033.0,5472.0,95.0,574.0,1434.0,3369.0,12.0,695.27,12.07,72.93,182.2,428.06
2010,TXDPD00,"Dallas, TX",1197816.0,9161.0,148.0,505.0,4021.0,4487.0,12.0,764.81,12.36,42.16,335.69,374.6
2010,CODPD00,"Denver, CO",600158.0,3387.0,28.0,371.0,2045.0,943.0,12.0,564.35,4.67,61.82,340.74,157.13
2010,MI82349,"Detroit, MI",713777.0,16973.0,310.0,403.0,10721.0,5539.0,12.0,2377.91,43.43,56.46,1502.01,776.01
2010,TX07102,"El Paso, TX",649121.0,2861.0,5.0,179.0,2198.0,479.0,12.0,440.75,0.77,27.58,338.61,73.79
2010,VA02901,"Fairfax County, VA",1042747.0,971.0,23.0,127.0,438.0,383.0,12.0,93.12,2.21,12.18,42.0,36.73
2010,TX22012,"Fort Worth, TX",741206.0,4301.0,63.0,325.0,2583.0,1330.0,12.0,580.27,8.5,43.85,348.49,179.44
2010,CA01005,"Fresno, CA",494665.0,3034.0,45.0,70.0,1898.0,1021.0,12.0,613.34,9.1,14.15,383.69,206.4
2010,HI00200,"Honolulu, HI",953297.0,2548.0,19.0,218.0,1420.0,891.0,12.0,267.28,1.99,22.87,148.96,93.47
2010,TXHPD00,"Houston, TX",2099451.0,22491.0,269.0,712.0,12061.0,9449.0,12.0,1071.28,12.81,33.91,574.48,450.07
2010,INIPD00,"Indianapolis, IN",831388.0,9646.0,92.0,461.0,5726.0,3367.0,12.0,1160.23,11.07,55.45,688.73,404.99
2010,FL01602,"Jacksonville, FL",823209.0,5469.0,80.0,316.0,3380.0,1693.0,12.0,664.35,9.72,38.39,410.59,205.66
2010,MOKPD00,"Kansas City, MO",459787.0,5643.0,102.0,241.0,3629.0,1671.0,12.0,1227.31,22.18,52.42,789.28,363.43
2010,NV00201,"Las Vegas, NV",1446280.0,12648.0,107.0,652.0,7886.0,4003.0,12.0,874.52,7.4,45.08,545.26,276.78
2010,CA01941,"Long Beach, CA",462257.0,2720.0,32.0,134.0,1352.0,1202.0,12.0,588.42,6.92,28.99,292.48,260.03
2010,CA01900,"Los Angeles County, CA",1057426.0,6497.0,86.0,208.0,4433.0,1770.0,12.0,614.42,8.13,19.67,419.23,167.39
2010,CA01942,"Los Angeles, CA",3792621.0,21484.0,293.0,923.0,9344.0,10924.0,12.0,566.47,7.73,24.34,246.37,288.03
2010,KY05680,"Louisville, KY",660582.0,3734.0,52.0,229.0,1850.0,1603.0,12.0,565.26,7.87,34.67,280.06,242.66
2010,TNMPD00,"Memphis, TN",646889.0,10401.0,89.0,433.0,6642.0,3237.0,12.0,1607.85,13.76,66.94,1026.76,500.39
2010,AZ00717,"Mesa, AZ",439041.0,1790.0,15.0,124.0,1140.0,511.0,12.0,407.71,3.42,28.24,259.66,116.39
2010,FL01300,"Miami-Dade County, FL",1109589.0,6927.0,87.0,252.0,4806.0,1782.0,12.0,624.29,7.84,22.71,433.13,160.6
2010,FL01306,"Miami, FL",399457.0,4879.0,68.0,46.0,2909.0,1856.0,12.0,1221.41,17.02,11.52,728.24,464.63
2010,WIMPD00,"Milwaukee, WI",594833.0,6336.0,95.0,196.0,3102.0,2943.0,12.0,1065.17,15.97,32.95,521.49,494.76
2010,MN02711,"Minneapolis, MN",382578.0,4064.0,37.0,438.0,1993.0,1596.0,12.0,1062.27,9.67,114.49,520.94,417.17
2010,MD01604,"Montgomery County, MD",953109.0,1699.0,16.0,119.0,653.0,911.0,12.0,178.26,1.68,12.49,68.51,95.58
2010,TN01901,"Nashville, TN",605009.0,6802.0,55.0,332.0,4613.0,1802.0,12.0,1124.28,9.09,54.88,762.47,297.85
2010,NY02900,"Nassau County, NY",1049589.0,1496.0,15.0,70.0,739.0,672.0,12.0,142.53,1.43,6.67,70.41,64.03
2010,LANPD00,"New Orleans, LA",343829.0,2593.0,175.0,144.0,1321.0,953.0,12.0,754.15,50.9,41.88,384.2,277.17
2010,NY03030,"New York City, NY",8175133.0,48489.0,536.0,1036.0,27309.0,19608.0,12.0,593.13,6.56,12.67,334.05,239.85
2010,NJNPD00,"Newark, NJ",277140.0,2885.0,90.0,79.0,1112.0,1604.0,12.0,1040.99,32.47,28.51,401.24,578.77
2010,CA00109,"Oakland, CA",390724.0,6267.0,90.0,318.0,2942.0,2917.0,12.0,1603.95,23.03,81.39,752.96,746.56
2010,OK05506,"Oklahoma City, OK",579999.0,5304.0,54.0,340.0,3798.0,1112.0,12.0,914.48,9.31,58.62,654.83,191.72
2010,NB02802,"Omaha, NE",408958.0,2274.0,34.0,205.0,1312.0,723.0,12.0,556.05,8.31,50.13,320.82,176.79
2010,FL04804,"Orlando, FL",238300.0,2574.0,18.0,113.0,1771.0,672.0,12.0,1080.15,7.55,47.42,743.18,282.0
2010,PAPEP00,"Philadelphia, PA",1526006.0,18535.0,306.0,945.0,8921.0,8363.0,12.0,1214.61,20.05,61.93,584.6,548.03
2010,AZ00723,"Phoenix, AZ",1445632.0,8001.0,116.0,522.0,4113.0,3250.0,12.0,553.46,8.02,36.11,284.51,224.82
2010,PAPPD00,"Pittsburgh, PA",307630.0,2810.0,55.0,66.0,1499.0,1190.0,12.0,913.43,17.88,21.45,487.27,386.83
2010,OR02602,"Portland, OR",583776.0,3051.0,22.0,230.0,1794.0,1005.0,12.0,522.63,3.77,39.4,307.31,172.16
2010,MD01721,"Prince George's County, MD",658600.0,4941.0,81.0,169.0,2219.0,2472.0,12.0,750.23,12.3,25.66,336.93,375.34
2010,NC09201,"Raleigh, NC",403892.0,1740.0,14.0,99.0,984.0,643.0,12.0,430.81,3.47,24.51,243.63,159.2
2010,CA03404,"Sacramento, CA",466488.0,4112.0,33.0,165.0,2423.0,1491.0,12.0,881.48,7.07,35.37,519.41,319.62
2010,UT01803,"Salt Lake City, UT",186440.0,1294.0,8.0,147.0,780.0,359.0,12.0,694.06,4.29,78.85,418.37,192.56
2010,TXSPD00,"San Antonio, TX",1327407.0,8434.0,79.0,467.0,5528.0,2360.0,12.0,635.37,5.95,35.18,416.45,177.79
2010,CA03711,"San Diego, CA",1307402.0,5616.0,29.0,300.0,3651.0,1636.0,12.0,429.55,2.22,22.95,279.26,125.13
2010,CA03801,"San Francisco, CA",805235.0,5747.0,48.0,133.0,2386.0,3180.0,12.0,713.7,5.96,16.52,296.31,394.92
2010,CA04313,"San Jose, CA",945942.0,3215.0,20.0,253.0,1966.0,976.0,12.0,339.87,2.11,26.75,207.84,103.18
2010,WASPD00,"Seattle, WA",608660.0,3515.0,19.0,96.0,1971.0,1429.0,12.0,577.5,3.12,15.77,323.83,234.78
2010,MOSPD00,"St. Louis, MO",319294.0,6205.0,144.0,188.0,3748.0,2125.0,12.0,1943.35,45.1,58.88,1173.84,665.53
2010,NY05101,"Suffolk County, NY",1333471.0,2031.0,50.0,55.0,1112.0,814.0,12.0,152.31,3.75,4.12,83.39,61.04
2010,FL02902,"Tampa, FL",335709.0,2170.0,27.0,47.0,1412.0,684.0,12.0,646.39,8.04,14.0,420.6,203.75
2010,AZ01003,"Tucson, AZ",520116.0,3331.0,51.0,158.0,2034.0,1088.0,12.0,640.43,9.81,30.38,391.07,209.18
2010,OK07205,"Tulsa, OK",391906.0,4304.0,54.0,252.0,2617.0,1381.0,12.0,1098.22,13.78,64.3,667.76,352.38
2010,VA12800,"Virginia Beach, VA",437994.0,831.0,14.0,53.0,335.0,429.0,12.0,189.73,3.2,12.1,76.49,97.95
2010,DCMPD00,"Washington, DC",601723.0,7468.0,132.0,184.0,3238.0,3914.0,12.0,1241.1,21.94,30.58,538.12,650.47
2010,KS08703,"Wichita, KS",382368.0,3038.0,16.0,251.0,2290.0,481.0,12.0,794.52,4.18,65.64,598.9,125.8
2010,,United States,,1251248.0,14722.0,,,,,404.5,4.8,,,
