report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1989,NM00101,"Albuquerque, NM",384801.0,4696.0,41.0,178.0,3445.0,1032.0,12.0,1220.37,10.65,46.26,895.27,268.19
1989,TX22001,"Arlington, TX",259796.0,1550.0,11.0,88.0,899.0,552.0,12.0,596.62,4.23,33.87,346.04,212.47
1989,GAAPD00,"Atlanta, GA",426482.0,16852.0,246.0,691.0,9119.0,6796.0,12.0,3951.4,57.68,162.02,2138.19,1593.5
1989,CO00101,"Aurora, CO",219780.0,2859.0,7.0,120.0,2354.0,378.0,12.0,1300.85,3.19,54.6,1071.07,171.99
1989,TX22701,"Austin, TX",468907.0,2605.0,31.0,235.0,1320.0,1019.0,12.0,555.55,6.61,50.12,281.51,217.31
1989,MD00301,"Baltimore County, MD",700068.0,7237.0,34.0,220.0,5179.0,1804.0,12.0,1033.76,4.86,31.43,739.79,257.69
1989,MDBPD00,"Baltimore, MD",763138.0,15618.0,262.0,541.0,6849.0,7966.0,12.0,2046.55,34.33,70.89,897.48,1043.85
1989,MA01301,"Boston, MA",580095.0,12919.0,99.0,483.0,6471.0,5866.0,12.0,2227.05,17.07,83.26,1115.51,1011.21
1989,NY01401,"Buffalo, NY",314284.0,4479.0,37.0,268.0,2345.0,1829.0,12.0,1425.14,11.77,85.27,746.14,581.96
1989,NC06001,"Charlotte, NC",372612.0,7640.0,73.0,325.0,4873.0,2369.0,12.0,2050.39,19.59,87.22,1307.79,635.78
1989,ILCPD00,"Chicago, IL",2988260.0,73590.0,742.0,3645.0,37615.0,31588.0,12.0,2462.64,24.83,121.98,1258.76,1057.07
1989,OHCIP00,"Cincinnati, OH",372282.0,3690.0,45.0,351.0,1866.0,1428.0,12.0,991.18,12.09,94.28,501.23,383.58
1989,OHCLP00,"Cleveland, OH",523906.0,7965.0,144.0,837.0,2939.0,4045.0,12.0,1520.31,27.49,159.76,560.98,772.09
1989,OHCOP00,"Columbus, OH",572341.0,5986.0,90.0,543.0,2226.0,3127.0,12.0,1045.88,15.72,94.87,388.93,546.35
1989,TXDPD00,"Dallas, TX",996320.0,21228.0,351.0,1185.0,10250.0,9442.0,12.0,2130.64,35.23,118.94,1028.79,947.69
1989,CODPD00,"Denver, CO",494589.0,3572.0,55.0,325.0,1925.0,1267.0,12.0,722.22,11.12,65.71,389.21,256.17
1989,MI82349,"Detroit, MI",1039599.0,24956.0,624.0,1424.0,11006.0,11902.0,12.0,2400.54,60.02,136.98,1058.68,1144.86
1989,TX07102,"El Paso, TX",515607.0,4722.0,41.0,241.0,3301.0,1139.0,12.0,915.81,7.95,46.74,640.22,220.9
1989,VA02901,"Fairfax County, VA",742741.0,1047.0,28.0,102.0,389.0,528.0,12.0,140.96,3.77,13.73,52.37,71.09
1989,TX22012,"Fort Worth, TX",430481.0,6668.0,113.0,454.0,3576.0,2525.0,12.0,1548.96,26.25,105.46,830.7,586.55
1989,CA01005,"Fresno, CA",315218.0,4289.0,42.0,234.0,2488.0,1525.0,12.0,1360.65,13.32,74.23,789.3,483.79
1989,HI00200,"Honolulu, HI",848959.0,2165.0,43.0,269.0,1044.0,809.0,0.0,255.02,5.07,31.69,122.97,95.29
1989,TXHPD00,"Houston, TX",1713499.0,19528.0,459.0,1152.0,8097.0,9820.0,12.0,1139.66,26.79,67.23,472.54,573.1
1989,INIPD00,"Indianapolis, IN",484056.0,5859.0,41.0,483.0,3529.0,1806.0,12.0,1210.4,8.47,99.78,729.05,373.1
1989,FL01602,"Jacksonville, FL",654737.0,9449.0,165.0,609.0,4735.0,3940.0,12.0,1443.17,25.2,93.01,723.19,601.77
1989,MOKPD00,"Kansas City, MO",440435.0,8996.0,140.0,507.0,4525.0,3824.0,12.0,2042.53,31.79,115.11,1027.39,868.23
1989,NV00201,"Las Vegas, NV",536148.0,4094.0,67.0,305.0,1676.0,2046.0,12.0,763.6,12.5,56.89,312.6,381.61
1989,CA01941,"Long Beach, CA",426025.0,7169.0,85.0,247.0,3074.0,3763.0,12.0,1682.77,19.95,57.98,721.55,883.28
1989,CA01900,"Los Angeles County, CA",1046235.0,15563.0,176.0,386.0,10948.0,4053.0,12.0,1487.52,16.82,36.89,1046.42,387.39
1989,CA01942,"Los Angeles, CA",3441449.0,77297.0,877.0,1996.0,43361.0,31063.0,12.0,2246.06,25.48,58.0,1259.96,902.61
1989,KY05680,"Louisville, KY",,,,,,,,,,,,
1989,TNMPD00,"Memphis, TN",651081.0,8030.0,141.0,781.0,3327.0,3781.0,12.0,1233.33,21.66,119.95,511.0,580.73
1989,AZ00717,"Mesa, AZ",285883.0,1400.0,10.0,85.0,1092.0,213.0,12.0,489.71,3.5,29.73,381.97,74.51
1989,FL01300,"Miami-Dade County, FL",972785.0,19140.0,203.0,768.0,10292.0,7877.0,12.0,1967.55,20.87,78.95,1057.99,809.74
1989,FL01306,"Miami, FL",381206.0,14093.0,132.0,285.0,6387.0,7289.0,12.0,3696.95,34.63,74.76,1675.47,1912.09
1989,WIMPD00,"Milwaukee, WI",600898.0,4270.0,112.0,461.0,1282.0,2415.0,12.0,710.6,18.64,76.72,213.35,401.9
1989,MN02711,"Minneapolis, MN",348384.0,5367.0,46.0,462.0,2335.0,2524.0,12.0,1540.54,13.2,132.61,670.24,724.49
1989,MD01604,"Montgomery County, MD",705979.0,1896.0,21.0,194.0,846.0,835.0,12.0,268.56,2.97,27.48,119.83,118.28
1989,TN01901,"Nashville, TN",501398.0,5230.0,69.0,478.0,3075.0,1608.0,12.0,1043.08,13.76,95.33,613.29,320.7
