report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1981,NM00101,"Albuquerque, NM",336840.0,2985.0,45.0,213.0,1620.0,1107.0,12.0,886.18,13.36,63.23,480.94,328.64
1981,TX22001,"Arlington, TX",167848.0,699.0,12.0,102.0,373.0,212.0,12.0,416.45,7.15,60.77,222.22,126.3
1981,GAAPD00,"Atlanta, GA",435626.0,10608.0,181.0,644.0,5246.0,4537.0,12.0,2435.12,41.55,147.83,1204.24,1041.49
1981,CO00101,"Aurora, CO",162900.0,1437.0,10.0,76.0,992.0,359.0,12.0,882.14,6.14,46.65,608.96,220.38
1981,TX22701,"Austin, TX",357607.0,1545.0,39.0,263.0,574.0,669.0,12.0,432.04,10.91,73.54,160.51,187.08
1981,MD00301,"Baltimore County, MD",662025.0,6127.0,32.0,191.0,4510.0,1394.0,12.0,925.49,4.83,28.85,681.24,210.57
1981,MDBPD00,"Baltimore, MD",797429.0,17737.0,228.0,565.0,6229.0,10715.0,12.0,2224.27,28.59,70.85,781.14,1343.69
1981,MA01301,"Boston, MA",566679.0,14071.0,100.0,531.0,4192.0,9248.0,12.0,2483.06,17.65,93.7,739.75,1631.96
1981,NY01401,"Buffalo, NY",359167.0,3341.0,25.0,229.0,1353.0,1734.0,10.0,930.21,6.96,63.76,376.7,482.78
1981,NC06001,"Charlotte, NC",316503.0,3166.0,51.0,198.0,2143.0,774.0,12.0,1000.31,16.11,62.56,677.09,244.55
1981,ILCPD00,"Chicago, IL",3012703.0,25609.0,877.0,1255.0,7359.0,16118.0,12.0,850.03,29.11,41.66,244.27,535.0
1981,OHCIP00,"Cincinnati, OH",383441.0,3892.0,43.0,289.0,1804.0,1756.0,12.0,1015.02,11.21,75.37,470.48,457.96
1981,OHCLP00,"Cleveland, OH",573145.0,12429.0,233.0,621.0,3754.0,7821.0,12.0,2168.56,40.65,108.35,654.98,1364.58
1981,OHCOP00,"Columbus, OH",562896.0,5263.0,91.0,396.0,1420.0,3356.0,12.0,934.99,16.17,70.35,252.27,596.2
1981,TXDPD00,"Dallas, TX",937273.0,12749.0,298.0,1121.0,5928.0,5402.0,12.0,1360.22,31.79,119.6,632.47,576.35
1981,CODPD00,"Denver, CO",503695.0,5085.0,100.0,471.0,2111.0,2403.0,12.0,1009.54,19.85,93.51,419.1,477.07
1981,MI82349,"Detroit, MI",1193805.0,23176.0,502.0,1229.0,6648.0,14797.0,12.0,1941.36,42.05,102.95,556.87,1239.48
1981,TX07102,"El Paso, TX",442677.0,3510.0,35.0,205.0,2399.0,871.0,12.0,792.9,7.91,46.31,541.93,196.76
1981,VA02901,"Fairfax County, VA",579696.0,934.0,14.0,99.0,288.0,533.0,11.0,161.12,2.42,17.08,49.68,91.94
1981,TX22012,"Fort Worth, TX",398482.0,4946.0,113.0,435.0,2086.0,2312.0,12.0,1241.21,28.36,109.16,523.49,580.2
1981,CA01005,"Fresno, CA",221129.0,2158.0,33.0,155.0,868.0,1102.0,12.0,975.9,14.92,70.09,392.53,498.35
1981,HI00200,"Honolulu, HI",773331.0,1965.0,40.0,265.0,340.0,1320.0,12.0,254.1,5.17,34.27,43.97,170.69
1981,TXHPD00,"Houston, TX",1621897.0,10274.0,497.0,967.0,1917.0,6893.0,9.0,633.46,30.64,59.62,118.19,425.0
1981,INIPD00,"Indianapolis, IN",461820.0,4539.0,65.0,400.0,1880.0,2194.0,12.0,982.85,14.07,86.61,407.09,475.08
1981,FL01602,"Jacksonville, FL",575157.0,5634.0,89.0,410.0,2795.0,2340.0,12.0,979.56,15.47,71.28,485.95,406.85
1981,MOKPD00,"Kansas City, MO",450211.0,7714.0,115.0,429.0,3935.0,3235.0,12.0,1713.42,25.54,95.29,874.03,718.55
1981,NV00201,"Las Vegas, NV",406915.0,4648.0,106.0,310.0,1454.0,2778.0,12.0,1142.25,26.05,76.18,357.32,682.7
1981,CA01941,"Long Beach, CA",366405.0,4579.0,74.0,307.0,1270.0,2928.0,12.0,1249.71,20.2,83.79,346.61,799.12
1981,CA01900,"Los Angeles County, CA",1047260.0,12059.0,183.0,664.0,6956.0,4256.0,12.0,1151.48,17.47,63.4,664.21,406.39
1981,CA01942,"Los Angeles, CA",3031090.0,52818.0,879.0,2666.0,21121.0,28152.0,12.0,1742.54,29.0,87.96,696.81,928.77
1981,KY05680,"Louisville, KY",,,,,,,,,,,,
1981,TNMPD00,"Memphis, TN",654096.0,7056.0,133.0,760.0,2071.0,4092.0,12.0,1078.74,20.33,116.19,316.62,625.6
1981,AZ00717,"Mesa, AZ",153941.0,741.0,1.0,51.0,546.0,143.0,12.0,481.35,0.65,33.13,354.68,92.89
1981,FL01300,"Miami-Dade County, FL",822971.0,12755.0,254.0,570.0,6405.0,5526.0,12.0,1549.87,30.86,69.26,778.28,671.47
1981,FL01306,"Miami, FL",356734.0,11211.0,210.0,382.0,4423.0,6196.0,12.0,3142.68,58.87,107.08,1239.86,1736.87
1981,WIMPD00,"Milwaukee, WI",641715.0,3424.0,71.0,290.0,1257.0,1806.0,12.0,533.57,11.06,45.19,195.88,281.43
1981,MN02711,"Minneapolis, MN",372784.0,3883.0,28.0,367.0,1192.0,2296.0,12.0,1041.62,7.51,98.45,319.76,615.91
1981,MD01604,"Montgomery County, MD",527903.0,1716.0,12.0,156.0,676.0,872.0,12.0,325.06,2.27,29.55,128.05,165.18
1981,TN01901,"Nashville, TN",458430.0,3087.0,79.0,363.0,1051.0,1594.0,12.0,673.39,17.23,79.18,229.26,347.71
1981,NY02900,"Nassau County, NY",1054349.0,1708.0,27.0,37.0,421.0,1223.0,12.0,162.0,2.56,3.51,39.93,116.0
1981,LANPD00,"New Orleans, LA",571771.0,8121.0,217.0,453.0,2501.0,4950.0,12.0,1420.32,37.95,79.23,437.41,865.73
1981,NY03030,"New York City, NY",7070429.0,156946.0,1826.0,3862.0,43783.0,107475.0,12.0,2219.75,25.83,54.62,619.24,1520.06
1981,NJNPD00,"Newark, NJ",332746.0,12320.0,161.0,598.0,3783.0,7778.0,12.0,3702.52,48.39,179.72,1136.9,2337.52
1981,CA00109,"Oakland, CA",347736.0,7036.0,118.0,430.0,2652.0,3836.0,12.0,2023.37,33.93,123.66,762.65,1103.14
1981,OK05506,"Oklahoma City, OK",414523.0,4128.0,65.0,336.0,2236.0,1491.0,12.0,995.84,15.68,81.06,539.42,359.69
1981,NB02802,"Omaha, NE",322883.0,1583.0,28.0,186.0,470.0,899.0,12.0,490.27,8.67,57.61,145.56,278.43
1981,FL04804,"Orlando, FL",135812.0,2373.0,25.0,154.0,1309.0,885.0,12.0,1747.27,18.41,113.39,963.83,651.64
1981,PAPEP00,"Philadelphia, PA",1686834.0,17616.0,362.0,936.0,5502.0,10816.0,12.0,1044.32,21.46,55.49,326.17,641.2
1981,AZ00723,"Phoenix, AZ",794983.0,6319.0,96.0,408.0,3119.0,2696.0,12.0,794.86,12.08,51.32,392.34,339.13
1981,PAPPD00,"Pittsburgh, PA",425632.0,5983.0,49.0,213.0,1433.0,4288.0,12.0,1405.67,11.51,50.04,336.68,1007.44
1981,OR02602,"Portland, OR",369518.0,6452.0,38.0,403.0,2939.0,3072.0,12.0,1746.06,10.28,109.06,795.36,831.35
1981,MD01721,"Prince George's County, MD",564424.0,5571.0,58.0,371.0,1797.0,3345.0,12.0,987.02,10.28,65.73,318.38,592.64
1981,NC09201,"Raleigh, NC",151155.0,719.0,11.0,56.0,364.0,288.0,12.0,475.67,7.28,37.05,240.81,190.53
1981,CA03404,"Sacramento, CA",281854.0,3535.0,53.0,228.0,1421.0,1833.0,12.0,1254.2,18.8,80.89,504.16,650.34
1981,UT01803,"Salt Lake City, UT",169383.0,1268.0,14.0,137.0,530.0,587.0,12.0,748.6,8.27,80.88,312.9,346.55
1981,TXSPD00,"San Antonio, TX",820591.0,4651.0,185.0,376.0,2255.0,1835.0,12.0,566.79,22.54,45.82,274.8,223.62
1981,CA03711,"San Diego, CA",898109.0,6594.0,94.0,559.0,2618.0,3323.0,12.0,734.21,10.47,62.24,291.5,370.0
1981,CA03801,"San Francisco, CA",692092.0,12011.0,126.0,672.0,3827.0,7386.0,12.0,1735.46,18.21,97.1,552.96,1067.2
1981,CA04313,"San Jose, CA",644823.0,4122.0,68.0,465.0,1519.0,2070.0,12.0,639.25,10.55,72.11,235.57,321.02
1981,WASPD00,"Seattle, WA",503697.0,5414.0,59.0,485.0,2526.0,2344.0,12.0,1074.85,11.71,96.29,501.49,465.36
1981,MOSPD00,"St. Louis, MO",454166.0,10364.0,265.0,413.0,4321.0,5365.0,12.0,2281.99,58.35,90.94,951.41,1181.29
1981,NY05101,"Suffolk County, NY",1164699.0,1663.0,21.0,91.0,731.0,820.0,7.0,142.78,1.8,7.81,62.76,70.4
1981,FL02902,"Tampa, FL",285530.0,5674.0,69.0,409.0,2882.0,2314.0,12.0,1987.18,24.17,143.24,1009.35,810.42
1981,AZ01003,"Tucson, AZ",340985.0,2810.0,28.0,163.0,1747.0,872.0,12.0,824.08,8.21,47.8,512.34,255.73
1981,OK07205,"Tulsa, OK",367234.0,2678.0,47.0,247.0,1435.0,949.0,12.0,729.24,12.8,67.26,390.76,258.42
1981,VA12800,"Virginia Beach, VA",265704.0,606.0,12.0,93.0,266.0,235.0,12.0,228.07,4.52,35.0,100.11,88.44
1981,DCMPD00,"Washington, DC",636000.0,14468.0,223.0,414.0,3432.0,10399.0,12.0,2274.84,35.06,65.09,539.62,1635.06
1981,KS08703,"Wichita, KS",282465.0,1729.0,43.0,202.0,668.0,816.0,12.0,612.11,15.22,71.51,236.49,288.89
1981,,United States,,1361820.0,22520.0,,,,,593.5,9.8,,,
