report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2014,NM00101,"Albuquerque, NM",558874.0,4934.0,30.0,402.0,3121.0,1381.0,12.0,882.85,5.37,71.93,558.44,247.1
2014,TX22001,"Arlington, TX",382976.0,1854.0,13.0,206.0,1142.0,493.0,12.0,484.1,3.39,53.79,298.19,128.73
2014,GAAPD00,"Atlanta, GA",454363.0,5577.0,93.0,151.0,3004.0,2329.0,12.0,1227.43,20.47,33.23,661.15,512.59
2014,CO00101,"Aurora, CO",350948.0,1430.0,9.0,273.0,734.0,414.0,12.0,407.47,2.56,77.79,209.15,117.97
2014,TX22701,"Austin, TX",903924.0,3581.0,32.0,571.0,2105.0,873.0,12.0,396.16,3.54,63.17,232.87,96.58
2014,MD00301,"Baltimore County, MD",828871.0,4024.0,25.0,97.0,2390.0,1512.0,11.0,485.48,3.02,11.7,288.34,182.42
2014,MDBPD00,"Baltimore, MD",623513.0,8346.0,211.0,245.0,4213.0,3677.0,12.0,1338.54,33.84,39.29,675.69,589.72
2014,MA01301,"Boston, MA",654413.0,4749.0,53.0,280.0,2736.0,1680.0,12.0,725.69,8.1,42.79,418.08,256.72
2014,NY01401,"Buffalo, NY",258419.0,3173.0,60.0,173.0,1663.0,1277.0,12.0,1227.85,23.22,66.95,643.53,494.16
2014,NC06001,"Charlotte, NC",856916.0,5054.0,47.0,210.0,3211.0,1586.0,12.0,589.79,5.48,24.51,374.72,185.08
2014,ILCPD00,"Chicago, IL",2724121.0,24133.0,415.0,1388.0,12530.0,9800.0,12.0,885.9,15.23,50.95,459.96,359.75
2014,OHCIP00,"Cincinnati, OH",297671.0,2719.0,60.0,248.0,1053.0,1358.0,12.0,913.42,20.16,83.31,353.75,456.21
2014,OHCLP00,"Cleveland, OH",388655.0,5205.0,63.0,495.0,1655.0,2992.0,12.0,1339.23,16.21,127.36,425.83,769.83
