report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2007,NM00101,"Albuquerque, NM",513124.0,5080.0,47.0,307.0,3287.0,1439.0,12.0,990.01,9.16,59.83,640.59,280.44
2007,TX22001,"Arlington, TX",372073.0,2588.0,13.0,156.0,1677.0,742.0,12.0,695.56,3.49,41.93,450.72,199.42
2007,GAAPD00,"Atlanta, GA",497290.0,8075.0,129.0,148.0,4221.0,3577.0,12.0,1623.8,25.94,29.76,848.8,719.3
2007,CO00101,"Aurora, CO",307621.0,1685.0,14.0,191.0,896.0,584.0,12.0,547.75,4.55,62.09,291.27,189.84
2007,TX22701,"Austin, TX",716817.0,3871.0,30.0,328.0,2056.0,1457.0,12.0,540.03,4.19,45.76,286.82,203.26
2007,MD00301,"Baltimore County, MD",785567.0,5331.0,36.0,151.0,3358.0,1786.0,12.0,678.62,4.58,19.22,427.46,227.35
2007,MDBPD00,"Baltimore, MD",624237.0,10182.0,282.0,146.0,5859.0,3895.0,12.0,1631.11,45.18,23.39,938.59,623.96
2007,MA01301,"Boston, MA",591855.0,6837.0,65.0,263.0,4267.0,2242.0,12.0,1155.18,10.98,44.44,720.95,378.81
2007,NY01401,"Buffalo, NY",273832.0,3490.0,54.0,164.0,1739.0,1533.0,12.0,1274.5,19.72,59.89,635.06,559.83
2007,NC06001,"Charlotte, NC",733291.0,7233.0,76.0,282.0,3684.0,3191.0,12.0,986.38,10.36,38.46,502.39,435.16
2007,ILCPD00,"Chicago, IL",2824434.0,34936.0,443.0,1644.0,17424.0,15425.0,12.0,1236.92,15.68,58.21,616.9,546.13
2007,OHCIP00,"Cincinnati, OH",332388.0,3595.0,62.0,318.0,1253.0,1962.0,12.0,1081.57,18.65,95.67,376.97,590.27
2007,OHCLP00,"Cleveland, OH",439888.0,6460.0,90.0,385.0,1960.0,4025.0,12.0,1468.56,20.46,87.52,445.57,915.01
2007,OHCOP00,"Columbus, OH",735981.0,6302.0,79.0,683.0,1685.0,3855.0,12.0,856.27,10.73,92.8,228.95,523.79
2007,TXDPD00,"Dallas, TX",1239104.0,13248.0,200.0,511.0,5315.0,7222.0,12.0,1069.16,16.14,41.24,428.94,582.84
2007,CODPD00,"Denver, CO",573387.0,3528.0,47.0,294.0,2148.0,1039.0,12.0,615.29,8.2,51.27,374.62,181.2
2007,MI82349,"Detroit, MI",860971.0,19690.0,392.0,335.0,12396.0,6567.0,12.0,2286.95,45.53,38.91,1439.77,762.74
2007,TX07102,"El Paso, TX",616029.0,2574.0,17.0,258.0,1827.0,472.0,12.0,417.84,2.76,41.88,296.58,76.62
2007,VA02901,"Fairfax County, VA",976392.0,873.0,15.0,59.0,309.0,490.0,12.0,89.41,1.54,6.04,31.65,50.18
2007,TX22012,"Fort Worth, TX",670693.0,4477.0,58.0,336.0,2460.0,1623.0,12.0,667.52,8.65,50.1,366.78,241.99
2007,CA01005,"Fresno, CA",472170.0,3043.0,52.0,99.0,1788.0,1104.0,12.0,644.47,11.01,20.97,378.68,233.81
2007,HI00200,"Honolulu, HI",905903.0,2613.0,19.0,226.0,1425.0,943.0,12.0,288.44,2.1,24.95,157.3,104.1
2007,TXHPD00,"Houston, TX",2169544.0,24564.0,351.0,694.0,12040.0,11479.0,12.0,1132.22,16.18,31.99,554.96,529.1
2007,INIPD00,"Indianapolis, IN",797268.0,9841.0,114.0,505.0,5176.0,4046.0,12.0,1234.34,14.3,63.34,649.22,507.48
2007,FL01602,"Jacksonville, FL",797350.0,8146.0,123.0,249.0,4660.0,3114.0,12.0,1021.63,15.43,31.23,584.44,390.54
2007,MOKPD00,"Kansas City, MO",447725.0,8380.0,90.0,467.0,5465.0,2358.0,12.0,1871.68,20.1,104.31,1220.62,526.66
2007,NV00201,"Las Vegas, NV",1341156.0,13641.0,119.0,723.0,7548.0,5251.0,12.0,1017.11,8.87,53.91,562.8,391.53
2007,CA01941,"Long Beach, CA",473959.0,3426.0,42.0,138.0,1740.0,1506.0,12.0,722.85,8.86,29.12,367.12,317.75
2007,CA01900,"Los Angeles County, CA",992436.0,7784.0,127.0,218.0,5254.0,2185.0,12.0,784.33,12.8,21.97,529.4,220.17
2007,CA01942,"Los Angeles, CA",3870487.0,27806.0,395.0,1004.0,12926.0,13481.0,12.0,718.41,10.21,25.94,333.96,348.3
2007,KY05680,"Louisville, KY",624030.0,4238.0,71.0,194.0,2063.0,1910.0,12.0,679.13,11.38,31.09,330.59,306.08
2007,TNMPD00,"Memphis, TN",669264.0,13065.0,131.0,450.0,7613.0,4871.0,12.0,1952.14,19.57,67.24,1137.52,727.81
2007,AZ00717,"Mesa, AZ",454576.0,2224.0,22.0,175.0,1407.0,620.0,12.0,489.25,4.84,38.5,309.52,136.39
2007,FL01300,"Miami-Dade County, FL",1082395.0,8614.0,84.0,353.0,5498.0,2679.0,12.0,795.83,7.76,32.61,507.95,247.51
2007,FL01306,"Miami, FL",410252.0,6119.0,78.0,57.0,3447.0,2537.0,12.0,1491.52,19.01,13.89,840.22,618.4
2007,WIMPD00,"Milwaukee, WI",572938.0,8057.0,105.0,236.0,4181.0,3535.0,12.0,1406.26,18.33,41.19,729.75,617.0
2007,MN02711,"Minneapolis, MN",371240.0,5580.0,47.0,452.0,2561.0,2520.0,12.0,1503.07,12.66,121.75,689.85,678.81
2007,MD01604,"Montgomery County, MD",911528.0,2059.0,19.0,129.0,815.0,1096.0,12.0,225.88,2.08,14.15,89.41,120.24
2007,TN01901,"Nashville, TN",564169.0,8513.0,73.0,290.0,5634.0,2516.0,12.0,1508.95,12.94,51.4,998.64,445.97
2007,NY02900,"Nassau County, NY",1030495.0,1639.0,14.0,71.0,806.0,748.0,12.0,159.05,1.36,6.89,78.21,72.59
2007,LANPD00,"New Orleans, LA",220614.0,3451.0,209.0,115.0,1973.0,1154.0,12.0,1564.27,94.74,52.13,894.32,523.09
2007,NY03030,"New York City, NY",8220196.0,50453.0,496.0,875.0,27295.0,21787.0,12.0,613.77,6.03,10.64,332.05,265.04
2007,NJNPD00,"Newark, NJ",280158.0,2415.0,104.0,60.0,1147.0,1104.0,12.0,862.01,37.12,21.42,409.41,394.06
2007,CA00109,"Oakland, CA",396541.0,7605.0,120.0,299.0,3716.0,3470.0,12.0,1917.83,30.26,75.4,937.1,875.07
2007,OK05506,"Oklahoma City, OK",542199.0,4612.0,58.0,326.0,2831.0,1397.0,12.0,850.61,10.7,60.13,522.13,257.65
2007,NB02802,"Omaha, NE",431810.0,2578.0,42.0,189.0,1529.0,818.0,12.0,597.02,9.73,43.77,354.09,189.44
2007,FL04804,"Orlando, FL",224417.0,4269.0,39.0,162.0,2534.0,1534.0,12.0,1902.26,17.38,72.19,1129.15,683.55
2007,PAPEP00,"Philadelphia, PA",1435533.0,21180.0,392.0,956.0,9574.0,10258.0,12.0,1475.41,27.31,66.6,666.93,714.58
2007,AZ00723,"Phoenix, AZ",1541698.0,11158.0,212.0,509.0,5495.0,4942.0,12.0,723.75,13.75,33.02,356.43,320.56
2007,PAPPD00,"Pittsburgh, PA",312179.0,3455.0,52.0,129.0,1678.0,1596.0,12.0,1106.74,16.66,41.32,537.51,511.25
2007,OR02602,"Portland, OR",538133.0,3701.0,22.0,280.0,2110.0,1289.0,12.0,687.75,4.09,52.03,392.1,239.53
2007,MD01721,"Prince George's County, MD",647701.0,6134.0,123.0,226.0,2693.0,3092.0,12.0,947.04,18.99,34.89,415.78,477.38
2007,NC09201,"Raleigh, NC",367120.0,2098.0,23.0,99.0,1141.0,835.0,12.0,571.48,6.26,26.97,310.8,227.45
