report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2008,NM00101,"Albuquerque, NM",527464.0,4718.0,38.0,370.0,2960.0,1350.0,12.0,894.47,7.2,70.15,561.18,255.94
2008,TX22001,"Arlington, TX",375836.0,2262.0,23.0,141.0,1404.0,694.0,12.0,601.86,6.12,37.52,373.57,184.66
2008,GAAPD00,"Atlanta, GA",533016.0,7403.0,105.0,126.0,3864.0,3308.0,12.0,1388.89,19.7,23.64,724.93,620.62
2008,CO00101,"Aurora, CO",316323.0,1621.0,18.0,187.0,861.0,555.0,12.0,512.45,5.69,59.12,272.19,175.45
2008,TX22701,"Austin, TX",753535.0,3935.0,23.0,273.0,2306.0,1333.0,12.0,522.21,3.05,36.23,306.02,176.9
2008,MD00301,"Baltimore County, MD",787558.0,4901.0,30.0,148.0,2998.0,1725.0,12.0,622.3,3.81,18.79,380.67,219.03
2008,MDBPD00,"Baltimore, MD",634549.0,10080.0,234.0,137.0,5683.0,4026.0,12.0,1588.53,36.88,21.59,895.6,634.47
2008,MA01301,"Boston, MA",604465.0,6676.0,62.0,237.0,3979.0,2398.0,12.0,1104.45,10.26,39.21,658.27,396.71
2008,NY01401,"Buffalo, NY",270289.0,3716.0,37.0,174.0,1966.0,1539.0,12.0,1374.82,13.69,64.38,727.37,569.39
2008,NC06001,"Charlotte, NC",758769.0,7070.0,83.0,272.0,3731.0,2984.0,12.0,931.77,10.94,35.85,491.72,393.27
2008,ILCPD00,"Chicago, IL",2829304.0,35789.0,510.0,1594.0,17032.0,16653.0,12.0,1264.94,18.03,56.34,601.99,588.59
2008,OHCIP00,"Cincinnati, OH",332608.0,4214.0,75.0,276.0,1444.0,2419.0,12.0,1266.96,22.55,82.98,434.14,727.28
2008,OHCLP00,"Cleveland, OH",433452.0,6154.0,55.0,428.0,1866.0,3805.0,12.0,1419.77,12.69,98.74,430.5,877.84
2008,OHCOP00,"Columbus, OH",751887.0,5854.0,100.0,644.0,1509.0,3601.0,12.0,778.57,13.3,85.65,200.7,478.93
2008,TXDPD00,"Dallas, TX",1276214.0,11420.0,170.0,499.0,4285.0,6466.0,12.0,894.83,13.32,39.1,335.76,506.65
2008,CODPD00,"Denver, CO",592881.0,3359.0,40.0,282.0,2081.0,956.0,12.0,566.56,6.75,47.56,351.0,161.25
2008,MI82349,"Detroit, MI",905783.0,17982.0,323.0,334.0,11000.0,6325.0,12.0,1985.24,35.66,36.87,1214.42,698.29
2008,TX07102,"El Paso, TX",612374.0,2825.0,17.0,181.0,2171.0,456.0,12.0,461.32,2.78,29.56,354.52,74.46
2008,VA02901,"Fairfax County, VA",974142.0,732.0,18.0,62.0,309.0,343.0,12.0,75.14,1.85,6.36,31.72,35.21
2008,TX22012,"Fort Worth, TX",701345.0,4627.0,49.0,373.0,2499.0,1706.0,12.0,659.73,6.99,53.18,356.32,243.25
2008,CA01005,"Fresno, CA",475723.0,2782.0,40.0,80.0,1678.0,984.0,12.0,584.79,8.41,16.82,352.73,206.84
2008,HI00200,"Honolulu, HI",906349.0,2575.0,18.0,203.0,1426.0,928.0,12.0,284.11,1.99,22.4,157.33,102.39
2008,TXHPD00,"Houston, TX",2238895.0,24779.0,294.0,750.0,13132.0,10603.0,12.0,1106.75,13.13,33.5,586.54,473.58
2008,INIPD00,"Indianapolis, IN",808329.0,9735.0,114.0,475.0,5123.0,4023.0,12.0,1204.34,14.1,58.76,633.78,497.69
2008,FL01602,"Jacksonville, FL",806080.0,8032.0,115.0,262.0,4717.0,2938.0,12.0,996.43,14.27,32.5,585.18,364.48
2008,MOKPD00,"Kansas City, MO",451454.0,6269.0,115.0,248.0,3816.0,2090.0,12.0,1388.62,25.47,54.93,845.27,462.95
2008,NV00201,"Las Vegas, NV",1353175.0,13324.0,120.0,729.0,7543.0,4932.0,12.0,984.65,8.87,53.87,557.43,364.48
2008,CA01941,"Long Beach, CA",467055.0,3158.0,40.0,120.0,1511.0,1487.0,12.0,676.15,8.56,25.69,323.52,318.38
2008,CA01900,"Los Angeles County, CA",1006321.0,7362.0,135.0,232.0,5028.0,1967.0,12.0,731.58,13.42,23.05,499.64,195.46
2008,CA01942,"Los Angeles, CA",3850920.0,26553.0,384.0,949.0,11798.0,13422.0,12.0,689.52,9.97,24.64,306.37,348.54
2008,KY05680,"Louisville, KY",629679.0,4306.0,71.0,220.0,2253.0,1762.0,12.0,683.84,11.28,34.94,357.8,279.83
2008,TNMPD00,"Memphis, TN",672046.0,12939.0,138.0,366.0,7647.0,4788.0,12.0,1925.31,20.53,54.46,1137.87,712.45
2008,AZ00717,"Mesa, AZ",456821.0,2289.0,16.0,161.0,1456.0,656.0,12.0,501.07,3.5,35.24,318.72,143.6
2008,FL01300,"Miami-Dade County, FL",1057396.0,8749.0,95.0,339.0,5763.0,2552.0,12.0,827.41,8.98,32.06,545.02,241.35
2008,FL01306,"Miami, FL",427740.0,5709.0,63.0,42.0,3189.0,2415.0,12.0,1334.69,14.73,9.82,745.55,564.6
2008,WIMPD00,"Milwaukee, WI",602131.0,7404.0,71.0,205.0,3884.0,3244.0,12.0,1229.63,11.79,34.05,645.04,538.75
