report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2001,NM00101,"Albuquerque, NM",451098.0,5259.0,34.0,219.0,3396.0,1610.0,12.0,1165.82,7.54,48.55,752.83,356.91
2001,TX22001,"Arlington, TX",340525.0,2129.0,15.0,145.0,1282.0,687.0,12.0,625.21,4.4,42.58,376.48,201.75
2001,GAAPD00,"Atlanta, GA",426511.0,10807.0,143.0,367.0,5956.0,4341.0,12.0,2533.82,33.53,86.05,1396.45,1017.79
2001,CO00101,"Aurora, CO",283876.0,1611.0,17.0,195.0,927.0,472.0,12.0,567.5,5.99,68.69,326.55,166.27
2001,TX22701,"Austin, TX",671462.0,3181.0,26.0,274.0,1698.0,1183.0,12.0,473.74,3.87,40.81,252.88,176.18
2001,MD00301,"Baltimore County, MD",765496.0,6542.0,31.0,233.0,4555.0,1723.0,12.0,854.61,4.05,30.44,595.04,225.08
2001,MDBPD00,"Baltimore, MD",660826.0,14799.0,256.0,296.0,8500.0,5747.0,12.0,2239.47,38.74,44.79,1286.27,869.67
2001,MA01301,"Boston, MA",591944.0,7361.0,65.0,361.0,4412.0,2523.0,12.0,1243.53,10.98,60.99,745.34,426.22
2001,NY01401,"Buffalo, NY",293187.0,3709.0,64.0,229.0,1816.0,1600.0,12.0,1265.06,21.83,78.11,619.4,545.73
2001,NC06001,"Charlotte, NC",636459.0,7775.0,66.0,293.0,4420.0,2996.0,12.0,1221.6,10.37,46.04,694.47,470.73
2001,ILCPD00,"Chicago, IL",2910709.0,46608.0,666.0,1976.0,25533.0,18433.0,12.0,1601.26,22.88,67.89,877.21,633.28
2001,OHCIP00,"Cincinnati, OH",331880.0,4007.0,56.0,323.0,1533.0,2095.0,12.0,1207.36,16.87,97.32,461.91,631.25
2001,OHCLP00,"Cleveland, OH",479263.0,6424.0,77.0,624.0,2425.0,3298.0,12.0,1340.39,16.07,130.2,505.99,688.14
2001,OHCOP00,"Columbus, OH",712748.0,6396.0,81.0,602.0,2349.0,3364.0,12.0,897.37,11.36,84.46,329.57,471.98
2001,TXDPD00,"Dallas, TX",1215553.0,17776.0,240.0,660.0,8546.0,8330.0,12.0,1462.38,19.74,54.3,703.05,685.28
2001,CODPD00,"Denver, CO",569653.0,3074.0,45.0,317.0,1462.0,1250.0,12.0,539.63,7.9,55.65,256.65,219.43
2001,MI82349,"Detroit, MI",956283.0,20947.0,395.0,652.0,12804.0,7096.0,12.0,2190.46,41.31,68.18,1338.93,742.04
2001,TX07102,"El Paso, TX",576453.0,4386.0,20.0,203.0,3388.0,775.0,12.0,760.86,3.47,35.22,587.73,134.44
2001,VA02901,"Fairfax County, VA",948050.0,249.0,2.0,32.0,42.0,173.0,12.0,26.26,0.21,3.38,4.43,18.25
2001,TX22012,"Fort Worth, TX",546828.0,3864.0,67.0,332.0,2076.0,1389.0,12.0,706.62,12.25,60.71,379.64,254.01
2001,CA01005,"Fresno, CA",435600.0,4096.0,40.0,202.0,2492.0,1362.0,12.0,940.31,9.18,46.37,572.08,312.67
2001,HI00200,"Honolulu, HI",885605.0,2453.0,20.0,293.0,1141.0,999.0,12.0,276.99,2.26,33.08,128.84,112.8
2001,TXHPD00,"Houston, TX",1997965.0,23419.0,267.0,945.0,12286.0,9921.0,12.0,1172.14,13.36,47.3,614.93,496.56
2001,INIPD00,"Indianapolis, IN",798251.0,7428.0,112.0,442.0,4087.0,2787.0,12.0,930.53,14.03,55.37,511.99,349.14
2001,FL01602,"Jacksonville, FL",754679.0,7388.0,75.0,287.0,4831.0,2195.0,12.0,978.96,9.94,38.03,640.14,290.85
2001,MOKPD00,"Kansas City, MO",444267.0,7081.0,103.0,319.0,4292.0,2367.0,12.0,1593.86,23.18,71.8,966.09,532.79
2001,NV00201,"Las Vegas, NV",1117763.0,7549.0,133.0,447.0,3302.0,3667.0,12.0,675.37,11.9,39.99,295.41,328.07
2001,CA01941,"Long Beach, CA",470099.0,3413.0,49.0,125.0,1822.0,1417.0,12.0,726.02,10.42,26.59,387.58,301.43
2001,CA01900,"Los Angeles County, CA",1005891.0,7997.0,108.0,229.0,5750.0,1910.0,12.0,795.02,10.74,22.77,571.63,189.88
2001,CA01942,"Los Angeles, CA",3763486.0,52243.0,588.0,1409.0,33080.0,17166.0,12.0,1388.15,15.62,37.44,878.97,456.12
2001,KY05680,"Louisville, KY",,,,,,,,,,,,
2001,TNMPD00,"Memphis, TN",655898.0,10906.0,159.0,489.0,5915.0,4343.0,12.0,1662.76,24.24,74.55,901.82,662.15
2001,AZ00717,"Mesa, AZ",410026.0,2516.0,17.0,106.0,1941.0,452.0,12.0,613.62,4.15,25.85,473.38,110.24
2001,FL01300,"Miami-Dade County, FL",1235499.0,12309.0,89.0,508.0,8452.0,3260.0,12.0,996.28,7.2,41.12,684.1,263.86
