report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1978,NM00101,"Albuquerque, NM",291834.0,2434.0,37.0,187.0,1516.0,694.0,12.0,834.04,12.68,64.08,519.47,237.81
1978,TX22001,"Arlington, TX",121750.0,450.0,6.0,43.0,269.0,132.0,12.0,369.61,4.93,35.32,220.94,108.42
1978,GAAPD00,"Atlanta, GA",456000.0,8845.0,144.0,592.0,3990.0,4119.0,12.0,1939.69,31.58,129.82,875.0,903.29
1978,CO00101,"Aurora, CO",131499.0,831.0,12.0,83.0,504.0,232.0,12.0,631.94,9.13,63.12,383.27,176.43
1978,TX22701,"Austin, TX",331557.0,1413.0,35.0,194.0,549.0,635.0,12.0,426.17,10.56,58.51,165.58,191.52
1978,MD00301,"Baltimore County, MD",641120.0,4600.0,27.0,168.0,3587.0,818.0,12.0,717.49,4.21,26.2,559.49,127.59
1978,MDBPD00,"Baltimore, MD",781730.0,14659.0,197.0,554.0,5811.0,8097.0,12.0,1875.2,25.2,70.87,743.35,1035.78
1978,MA01301,"Boston, MA",616225.0,10035.0,72.0,475.0,3853.0,5635.0,12.0,1628.46,11.68,77.08,625.26,914.44
1978,NY01401,"Buffalo, NY",391695.0,3181.0,44.0,221.0,1195.0,1721.0,12.0,812.11,11.23,56.42,305.08,439.37
1978,NC06001,"Charlotte, NC",309101.0,2435.0,51.0,114.0,1561.0,709.0,12.0,787.77,16.5,36.88,505.01,229.37
1978,ILCPD00,"Chicago, IL",3086699.0,27686.0,787.0,1341.0,10325.0,15233.0,12.0,896.95,25.5,43.44,334.5,493.5
1978,OHCIP00,"Cincinnati, OH",405324.0,3303.0,57.0,287.0,1659.0,1300.0,12.0,814.9,14.06,70.81,409.3,320.73
1978,OHCLP00,"Cleveland, OH",614512.0,9697.0,213.0,507.0,2623.0,6354.0,12.0,1578.0,34.66,82.5,426.84,1033.99
1978,OHCOP00,"Columbus, OH",578338.0,3353.0,67.0,309.0,1054.0,1923.0,12.0,579.76,11.58,53.43,182.25,332.5
1978,TXDPD00,"Dallas, TX",871832.0,9884.0,230.0,822.0,4997.0,3835.0,12.0,1133.7,26.38,94.28,573.16,439.88
1978,CODPD00,"Denver, CO",485547.0,4877.0,97.0,577.0,1841.0,2362.0,12.0,1004.43,19.98,118.84,379.16,486.46
1978,MI82349,"Detroit, MI",1294359.0,21602.0,498.0,1288.0,7533.0,12283.0,12.0,1668.93,38.47,99.51,581.99,948.96
1978,TX07102,"El Paso, TX",399000.0,1490.0,21.0,121.0,573.0,775.0,12.0,373.43,5.26,30.33,143.61,194.24
1978,VA02901,"Fairfax County, VA",522890.0,917.0,17.0,94.0,314.0,492.0,12.0,175.37,3.25,17.98,60.05,94.09
1978,TX22012,"Fort Worth, TX",375860.0,2670.0,86.0,265.0,1101.0,1218.0,12.0,710.37,22.88,70.5,292.93,324.06
1978,CA01005,"Fresno, CA",194774.0,1997.0,42.0,114.0,739.0,1102.0,12.0,1025.29,21.56,58.53,379.41,565.78
1978,HI00200,"Honolulu, HI",725259.0,2044.0,38.0,187.0,346.0,1473.0,12.0,281.83,5.24,25.78,47.71,203.1
1978,TXHPD00,"Houston, TX",1486489.0,10852.0,484.0,1098.0,1918.0,7352.0,12.0,730.04,32.56,73.87,129.03,494.59
1978,INIPD00,"Indianapolis, IN",513271.0,3733.0,76.0,341.0,1353.0,1963.0,12.0,727.3,14.81,66.44,263.6,382.45
1978,FL01602,"Jacksonville, FL",523199.0,4368.0,79.0,278.0,2664.0,1347.0,12.0,834.86,15.1,53.13,509.18,257.45
1978,MOKPD00,"Kansas City, MO",463931.0,5029.0,115.0,342.0,2708.0,1864.0,12.0,1084.0,24.79,73.72,583.71,401.78
1978,NV00201,"Las Vegas, NV",288865.0,2886.0,54.0,192.0,1092.0,1548.0,12.0,999.08,18.69,66.47,378.03,535.89
1978,CA01941,"Long Beach, CA",344154.0,3688.0,68.0,246.0,1244.0,2130.0,12.0,1071.61,19.76,71.48,361.47,618.91
1978,CA01900,"Los Angeles County, CA",972663.0,10766.0,180.0,595.0,7062.0,2929.0,12.0,1106.86,18.51,61.17,726.05,301.13
1978,CA01942,"Los Angeles, CA",2787525.0,36797.0,651.0,2467.0,16574.0,17105.0,12.0,1320.06,23.35,88.5,594.58,613.63
1978,KY05680,"Louisville, KY",,,,,,,,,,,,
1978,TNMPD00,"Memphis, TN",683112.0,5412.0,113.0,664.0,1738.0,2897.0,12.0,792.26,16.54,97.2,254.42,424.09
1978,AZ00717,"Mesa, AZ",124937.0,493.0,4.0,40.0,328.0,121.0,12.0,394.6,3.2,32.02,262.53,96.85
1978,FL01300,"Miami-Dade County, FL",669511.0,8437.0,96.0,334.0,5576.0,2431.0,12.0,1260.17,14.34,49.89,832.85,363.1
1978,FL01306,"Miami, FL",330060.0,6272.0,96.0,207.0,3137.0,2832.0,12.0,1900.26,29.09,62.72,950.43,858.03
1978,WIMPD00,"Milwaukee, WI",623657.0,2438.0,48.0,288.0,890.0,1212.0,12.0,390.92,7.7,46.18,142.71,194.34
1978,MN02711,"Minneapolis, MN",374800.0,3098.0,26.0,307.0,1077.0,1688.0,12.0,826.57,6.94,81.91,287.35,450.37
1978,MD01604,"Montgomery County, MD",525247.0,1138.0,10.0,110.0,488.0,530.0,12.0,216.66,1.9,20.94,92.91,100.9
1978,TN01901,"Nashville, TN",452440.0,3153.0,81.0,217.0,1083.0,1772.0,12.0,696.89,17.9,47.96,239.37,391.65
1978,NY02900,"Nassau County, NY",1100131.0,1005.0,13.0,23.0,293.0,676.0,12.0,91.35,1.18,2.09,26.63,61.45
1978,LANPD00,"New Orleans, LA",559160.0,7635.0,216.0,406.0,2849.0,4164.0,12.0,1365.44,38.63,72.61,509.51,744.69
1978,NY03030,"New York City, NY",7242886.0,122685.0,1503.0,3882.0,43271.0,74029.0,12.0,1693.87,20.75,53.6,597.43,1022.09
1978,NJNPD00,"Newark, NJ",325679.0,6843.0,109.0,315.0,2737.0,3682.0,12.0,2101.15,33.47,96.72,840.4,1130.56
1978,CA00109,"Oakland, CA",327756.0,5374.0,97.0,351.0,2152.0,2774.0,12.0,1639.63,29.6,107.09,656.59,846.36
1978,OK05506,"Oklahoma City, OK",381184.0,3607.0,67.0,314.0,2203.0,1023.0,12.0,946.26,17.58,82.37,577.94,268.37
1978,NB02802,"Omaha, NE",364446.0,1856.0,24.0,162.0,792.0,878.0,12.0,509.27,6.59,44.45,217.32,240.91
1978,FL04804,"Orlando, FL",118393.0,1620.0,13.0,107.0,1090.0,410.0,12.0,1368.32,10.98,90.38,920.66,346.3
1978,PAPEP00,"Philadelphia, PA",1885533.0,12369.0,352.0,724.0,4224.0,7069.0,12.0,655.99,18.67,38.4,224.02,374.91
1978,AZ00723,"Phoenix, AZ",696763.0,5401.0,88.0,463.0,2819.0,2031.0,12.0,775.16,12.63,66.45,404.59,291.49
1978,PAPPD00,"Pittsburgh, PA",479443.0,4818.0,66.0,231.0,1475.0,3046.0,12.0,1004.92,13.77,48.18,307.65,635.32
