report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1999,NM00101,"Albuquerque, NM",420169.0,5255.0,48.0,220.0,3320.0,1667.0,12.0,1250.69,11.42,52.36,790.16,396.75
1999,TX22001,"Arlington, TX",310910.0,1951.0,11.0,109.0,1285.0,546.0,12.0,627.51,3.54,35.06,413.3,175.61
1999,GAAPD00,"Atlanta, GA",411291.0,11226.0,143.0,321.0,6690.0,4072.0,12.0,2729.45,34.77,78.05,1626.59,990.05
1999,CO00101,"Aurora, CO",255938.0,1454.0,11.0,182.0,806.0,455.0,12.0,568.11,4.3,71.11,314.92,177.78
1999,TX22701,"Austin, TX",560389.0,2790.0,21.0,193.0,1574.0,1002.0,12.0,497.87,3.75,34.44,280.88,178.8
1999,MD00301,"Baltimore County, MD",727051.0,6067.0,30.0,188.0,4146.0,1703.0,12.0,834.47,4.13,25.86,570.25,234.23
1999,MDBPD00,"Baltimore, MD",650588.0,18677.0,305.0,374.0,10536.0,7462.0,0.0,2870.79,46.88,57.49,1619.46,1146.96
1999,MA01301,"Boston, MA",557812.0,7263.0,31.0,337.0,4428.0,2467.0,12.0,1302.05,5.56,60.41,793.82,442.26
1999,NY01401,"Buffalo, NY",301069.0,3243.0,32.0,176.0,1562.0,1473.0,12.0,1077.16,10.63,58.46,518.82,489.26
1999,NC06001,"Charlotte, NC",604931.0,8138.0,84.0,262.0,5275.0,2517.0,12.0,1345.28,13.89,43.31,872.0,416.08
1999,ILCPD00,"Chicago, IL",2821032.0,51347.0,641.0,2469.0,28027.0,20210.0,12.0,1820.15,22.72,87.52,993.5,716.4
1999,OHCIP00,"Cincinnati, OH",337815.0,2491.0,28.0,249.0,1005.0,1209.0,12.0,737.39,8.29,73.71,297.5,357.89
1999,OHCLP00,"Cleveland, OH",497903.0,6051.0,78.0,506.0,2429.0,3038.0,12.0,1215.3,15.67,101.63,487.85,610.16
1999,OHCOP00,"Columbus, OH",673401.0,5755.0,71.0,638.0,2020.0,3026.0,12.0,854.62,10.54,94.74,299.97,449.36
1999,TXDPD00,"Dallas, TX",1091386.0,15435.0,191.0,663.0,8224.0,6357.0,12.0,1414.26,17.5,60.75,753.54,582.47
