report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1984,NM00101,"Albuquerque, NM",356366.0,3615.0,28.0,210.0,2162.0,1215.0,12.0,1014.41,7.86,58.93,606.68,340.94
1984,TX22001,"Arlington, TX",191475.0,765.0,13.0,93.0,459.0,200.0,12.0,399.53,6.79,48.57,239.72,104.45
1984,GAAPD00,"Atlanta, GA",442951.0,10525.0,135.0,632.0,5729.0,4029.0,12.0,2376.11,30.48,142.68,1293.37,909.58
1984,CO00101,"Aurora, CO",191159.0,1822.0,13.0,95.0,1397.0,317.0,12.0,953.13,6.8,49.7,730.81,165.83
1984,TX22701,"Austin, TX",385237.0,1648.0,59.0,264.0,557.0,768.0,12.0,427.79,15.32,68.53,144.59,199.36
1984,MD00301,"Baltimore County, MD",671586.0,6111.0,28.0,171.0,4830.0,1082.0,12.0,909.94,4.17,25.46,719.19,161.11
1984,MDBPD00,"Baltimore, MD",788604.0,15581.0,215.0,564.0,6800.0,8002.0,12.0,1975.77,27.26,71.52,862.28,1014.7
1984,MA01301,"Boston, MA",565192.0,10557.0,82.0,460.0,4476.0,5539.0,12.0,1867.86,14.51,81.39,791.94,980.02
1984,NY01401,"Buffalo, NY",352015.0,3316.0,35.0,278.0,1617.0,1386.0,12.0,942.01,9.94,78.97,459.36,393.73
1984,NC06001,"Charlotte, NC",331992.0,4431.0,54.0,243.0,2990.0,1144.0,12.0,1334.67,16.27,73.19,900.62,344.59
1984,ILCPD00,"Chicago, IL",3012524.0,60579.0,741.0,2883.0,28420.0,28535.0,0.0,2010.91,24.6,95.7,943.39,947.21
1984,OHCIP00,"Cincinnati, OH",378800.0,3447.0,36.0,367.0,1712.0,1332.0,12.0,909.98,9.5,96.88,451.95,351.64
1984,OHCLP00,"Cleveland, OH",556931.0,7332.0,156.0,733.0,2353.0,4090.0,12.0,1316.5,28.01,131.61,422.49,734.38
1984,OHCOP00,"Columbus, OH",568609.0,4352.0,62.0,394.0,1598.0,2298.0,12.0,765.38,10.9,69.29,281.04,404.14
1984,TXDPD00,"Dallas, TX",987696.0,12110.0,294.0,1022.0,5953.0,4841.0,12.0,1226.09,29.77,103.47,602.72,490.13
1984,CODPD00,"Denver, CO",524171.0,4100.0,82.0,427.0,1910.0,1681.0,12.0,782.19,15.64,81.46,364.38,320.7
1984,MI82349,"Detroit, MI",1133647.0,26567.0,514.0,1519.0,6182.0,18352.0,12.0,2343.5,45.34,133.99,545.32,1618.85
1984,TX07102,"El Paso, TX",465748.0,3730.0,24.0,175.0,2481.0,1050.0,12.0,800.86,5.15,37.57,532.69,225.44
1984,VA02901,"Fairfax County, VA",626134.0,868.0,16.0,61.0,347.0,444.0,12.0,138.63,2.56,9.74,55.42,70.91
1984,TX22012,"Fort Worth, TX",420050.0,5452.0,119.0,467.0,2786.0,2080.0,12.0,1297.94,28.33,111.18,663.25,495.18
1984,CA01005,"Fresno, CA",254649.0,1994.0,34.0,134.0,760.0,1066.0,12.0,783.04,13.35,52.62,298.45,418.62
1984,HI00200,"Honolulu, HI",810772.0,1950.0,25.0,255.0,553.0,1117.0,12.0,240.51,3.08,31.45,68.21,137.77
1984,TXHPD00,"Houston, TX",1805783.0,15155.0,473.0,1269.0,4256.0,9157.0,12.0,839.25,26.19,70.27,235.69,507.09
1984,INIPD00,"Indianapolis, IN",471622.0,4366.0,49.0,324.0,2151.0,1842.0,12.0,925.74,10.39,68.7,456.09,390.57
1984,FL01602,"Jacksonville, FL",582421.0,6228.0,103.0,587.0,3404.0,2134.0,12.0,1069.33,17.68,100.79,584.46,366.4
1984,MOKPD00,"Kansas City, MO",450489.0,7167.0,88.0,372.0,4267.0,2440.0,12.0,1590.94,19.53,82.58,947.19,541.63
